Product ID,Product Name,Product Description,Category,Brand,Cost Price,Selling Price,Discount (%),Stock Quantity,Stock Status,Delivery Time,Shipping Cost,Free Shipping,Return Policy,Specifications,Tags/Keywords,Ratings,Reviews Count,Frequently Bought Together
100,Sony WH-1000XM5,Noise Cancelling Wireless Headphones,Electronics,Sony,1907.59,937.21,9,23,In Stock,2-5 Days,4.56,No,Non-returnable,"Feature A, Feature B, Feature C","sony, wh-1000xm5, best-seller",4.8,2889,Microsoft Surface Pro 9
101,Dyson V15 Detect,"Cordless Vacuum Cleaner, Laser Detect Technology",Home & Kitchen,Dyson,1512.11,1391.92,16,100,Out of Stock,3-7 Days,3.53,No,Non-returnable,"Feature A, Feature B, Feature C","dyson, v15, detect, best-seller",3.9,3373,Microsoft Surface Pro 9
102,JBL Charge 5,"Waterproof Bluetooth Speaker, 20hr Battery",Electronics,JBL,1444.47,534.26,13,426,In Stock,3-7 Days,5.13,Yes,30 Days Return,"Feature A, Feature B, Feature C","jbl, charge, 5, best-seller",4.4,2605,Apple Watch Series 9
103,Samsung Odyssey G9,"49-inch Curved Gaming Monitor, 240Hz",Electronics,Samsung,1685.59,394.75,28,338,In Stock,5-10 Days,7.52,Yes,Non-returnable,"Feature A, Feature B, Feature C","samsung, odyssey, g9, best-seller",3.8,4243,Samsung Galaxy Watch 6
104,Lenovo Legion 5 Pro,"Gaming Laptop, RTX 4070, 32GB RAM, 1TB SSD",Computers,Lenovo,1267.38,1514.41,26,298,In Stock,3-7 Days,6.78,Yes,7 Days Return,"Feature A, Feature B, Feature C","lenovo, legion, 5, pro, best-seller",4.8,2536,Apple Watch Series 9
105,Lenovo Legion 5 Pro,"Gaming Laptop, RTX 4070, 32GB RAM, 1TB SSD",Computers,Lenovo,721.88,924.48,22,89,In Stock,1-3 Days,5.72,Yes,Non-returnable,"Feature A, Feature B, Feature C","lenovo, legion, 5, pro, best-seller",4.6,2670,GoPro Hero 12 Black
106,Samsung Odyssey G9,"49-inch Curved Gaming Monitor, 240Hz",Electronics,Samsung,1655.26,987.65,27,297,In Stock,1-3 Days,1.9,No,7 Days Return,"Feature A, Feature B, Feature C","samsung, odyssey, g9, best-seller",3.6,2537,Apple Watch Series 9
107,Samsung Galaxy Watch 6,"Smartwatch, AMOLED Display, Health Tracking",Wearables,Samsung,748.38,2092.4,23,30,In Stock,5-10 Days,3.76,Yes,Non-returnable,"Feature A, Feature B, Feature C","samsung, galaxy, watch, 6, best-seller",4.8,4993,LG C2 OLED TV
108,Dyson V15 Detect,"Cordless Vacuum Cleaner, Laser Detect Technology",Home & Kitchen,Dyson,826.66,2070.91,10,14,In Stock,2-5 Days,4.57,Yes,Non-returnable,"Feature A, Feature B, Feature C","dyson, v15, detect, best-seller",4.1,2800,Bose QuietComfort Earbuds II
109,Philips Air Fryer XXL,"Digital, 7L Capacity, Fat-Reduction Technology",Home & Kitchen,Philips,896.75,1261.56,12,109,In Stock,5-10 Days,6.09,No,Non-returnable,"Feature A, Feature B, Feature C","philips, air, fryer, xxl, best-seller",4.0,2777,Apple iPad Pro 12.9
